timestamp,user,text,toxic_labels,stt_time,ai_time,latency_ms,user_count
2026-02-10 21:46:19,U3,Thank you for being so kind to me.,SAFE,679.67,62.54,742.21,3
2026-02-10 21:46:28,u1,I forgot my case in the car I'll be right back.,SAFE,635.86,60.09,695.96,3
2026-02-10 21:46:39,U3,the internet connection seems very stable today.,SAFE,678.10,56.94,735.04,3
2026-02-10 21:46:50,T7,Have a wonderful weekend with your family.,SAFE,604.96,45.58,650.54,3
2026-02-10 21:47:02,U3,I'm looking forward to our vacation next summer.,SAFE,681.39,63.72,745.11,3
2026-02-10 21:47:10,u1,Could you please explain that concept again?,SAFE,645.38,50.83,696.21,3
2026-02-10 21:47:19,U3,that's it so we ordered just the right at the door.,SAFE,813.20,59.36,872.56,3
2026-02-10 21:47:23,u1,,SAFE,543.48,52.83,596.31,3
2026-02-10 21:47:34,u1,I usually wake up at 7 in the morning.,SAFE,625.21,58.95,684.16,3
2026-02-10 21:47:44,U3,technologies advancing very rapidly these days.,SAFE,928.67,49.41,978.08,3
2026-02-10 21:47:54,T7,It was nice talking to you later.,SAFE,873.44,109.66,983.10,3
2026-02-10 21:48:10,U3,I need you to finish writing this report by tonight.,SAFE,1082.78,124.51,1207.28,3
2026-02-10 21:48:22,u1,We will prefer to your coffee in the morning.,SAFE,913.36,61.14,974.51,3
2026-02-10 21:48:31,U3,This sound reminds me of my childhood.,SAFE,1085.86,53.48,1139.34,3
2026-02-10 21:48:40,T7,Let's put on more 8 to find the best solution.,SAFE,868.86,76.88,945.74,3
2026-02-10 21:48:50,U3,I am very proud of what we've achieved today.,SAFE,912.64,59.72,972.35,3
2026-02-10 21:48:59,T7,Please remember to turn off the lights.,SAFE,844.63,131.69,976.32,3
2026-02-10 21:49:08,U3,Is there anything else I can help you with?,SAFE,820.41,56.92,877.33,3
2026-02-10 21:49:19,T7,the sunset looks absolutely beautiful this evening.,SAFE,1662.44,73.60,1736.04,3
2026-02-10 21:49:29,U3,I have a lot of work to do this week.,SAFE,921.58,74.94,996.52,3
2026-02-10 21:49:37,u1,My computer is running very fast now.,SAFE,975.20,50.89,1026.09,3
2026-02-10 21:49:47,U3,Let's go for a walk in the park later.,SAFE,857.84,107.98,965.82,3
2026-02-10 21:49:55,u1,I enjoy listening to music choir artwork.,SAFE,890.63,49.98,940.62,3
2026-02-10 21:50:05,U3,Can you recommend a good restaurant nearby?,SAFE,1034.66,63.26,1097.92,3
2026-02-10 21:50:14,u1,we should organize a team building event.,SAFE,844.07,54.85,898.92,3
2026-02-10 21:50:22,T7,I'm learning how to cook in your dishes.,SAFE,964.41,59.66,1024.08,3
2026-02-10 21:50:31,U3,The train is arriving at the station now.,SAFE,920.51,55.48,975.99,3
2026-02-10 21:50:41,T7,I need to buy a birthday gift to my friend.,SAFE,931.15,68.88,1000.03,3
2026-02-10 21:50:50,U3,Please send me the first via email.,SAFE,837.26,123.73,961.00,3
2026-02-10 21:50:59,u1,everything is going according to plan.,SAFE,924.38,54.27,978.64,3
